Email,Class,Is_Phishing,Risk,Social_Engineering_Elements,Actions,Reason
SUBJECT: win luxury cars or 45 000 cash . only 2100 tickets to be sold . EMAIL: enter the keyston montessori school raffle enter to win 1 of 3 luxury cars or 45 000 cash only 2100 tickets will be sold - your odds of wining are 162 to 1 keystone montessori school is a 501 - 3 c non profit orgianization - you actually win each time you enter because the proceeds of the raffle go toward providing an improved eduational experience for the children attending keystone montessori school . price of tickets - 100 each or 3 for 250 grand prize is the choice of one of the following cars mercedes - benz slk 350 roadster bmw 530 i porshe cayenne or 45 000 cash 2 nd prize 2500 cash 10 - 3 rd prizes of 250 drawing is held may 14 - click here now prize amounts will be reduced if minimum ticket sales are not achieved . see rules for details kash 4 kids 1025 e . liberty lane phoenix az 85048 this e - mail message is an advertisement and / or solicitation .,Phishing,False,Low,"['Emotional appeal', 'Urgency to act quickly']","['Verify the authenticity of Keystone Montessori School by visiting their official website or contacting them directly.', 'Be cautious of emails with unusual grammar and spelling mistakes.']","Although the email contains some red flags, such as grammatical errors and a sense of urgency, it appears to be a legitimate advertisement for a raffle sponsored by Keystone Montessori School."
SUBJECT: Find out the best enhancement solution EMAIL: My recently upgraded love weapon fit perfectly inside my beloved lady If your competence in love is truly important for you dont ignore this offer http://whitedone.com/ NCAA Basketball: National tournament field setSaturns moon Enceladus taken in 2005 has shown thatNew Zealands Prime Minister supports daylight savings,Phishing,True,High,"['personalized content', 'urgency']","['Do not click on the link', ""Verify sender's authenticity""]",Uses personalized content and creates a sense of urgency to lure recipient into clicking a suspicious link.
SUBJECT: penis growth patches are here EMAIL: penis enlargement breakthrough http : / / www . gretan . com / ss / some of us are becoming the men we wanted to marry . there is no path to peace . peace is the path . to do anything less than your best is to sacrifice the gift . a kind word never broke anyone s mouth . the position of the artist is humble . he is essentially a channel .,Phishing,True,High,"['Urgency', 'Emotional Appeal']","['Do not click on the link', ""Verify sender's identity""]","The email contains a sensational subject line, an emotionally charged message, and a generic, motivational quote. It also contains a suspicious link with poor grammar and spelling."
SUBJECT: congratulations you have won the hague lottery awards please write back for claim immediately EMAIL: attn - sir hague questry lottery bonpostraat 26 7651 am groningen the netherlands . from : the desk of the promotions manager international promotions / prize award department ref : tlot / 33900560 / 04 batch : 24 / ai 90061 / 8482 / ui attention : re / award notification final notice we are pleased to inform you of the announcement today 8 th october 2004 of winners of the the hague questry promo lottery the netherlands / international programs held on 28 th september 2004 . your email address is attached to a ticket number with serial number 4399 - 11 and the lucky numbers preserved and insured for strict award distinct identifying your lottery award in the 3 rd category you have therefore been approved for a lump sum pay out of us 5 500 . 000 . 00 in cash credited to file ref no . tlot / 33900560 / 04 . this is from total prize money of us 80 400 000 . 00 shared among the seventeen international winners in this category . all participants were selected through a computer ballot system drawn from 25 000 names from aust ralia new zealand america europe north america africa and asia as part of international promotions program which is conducted annually . congratulations your fund is now deposited with a security company insured in your name . due to the mix up of some numbers and names we ask that you keep this award strictly from public notice until your claim has been processed and your money remitted to your account . this is part of our security protocol to avoid double claiming or unscrupulous acts by participants of this program . we hope with a part of your prize you will participate in our end of year high stakes us 1 . 3 billion international lottery . to begin your claim please contact your claims agent mrs brian debby foreign service director on email address : b _ debbyhague @ hotmail . com please send your telephone and fax nos along . for due processing and remittance of your prize money to a designated account of the official bank to the lottery matters . remember all prize money must be claimed not later than 20 th october 2004 . after this date all funds will be returned as unclaimed . note : in order to avoid unnecessary delays and complications please remember to quote your reference and batch numbers in every one of your correspondences with your agent . furthermore should there be any change of your address do inform your claims agent as soon as possible . congratulations again from all our staff and thank you for being part of our promotions program . sincerely andre woods the promotions director the hague questry promo lottery the netherlands . promo lottery the netherlands . . n . b . any breach of confidentiality on the part of the winners will result to disqualification . sorry for the late information thanks,Phishing,False,Low,"['winning a large sum of money', 'urgency', 'need for secrecy']","['Do not respond to the email', 'Do not click on any links', 'Verify with the official lottery website']","The email is likely legitimate as it claims to be from a government-run lottery, but the request for sensitive information and urgent action are red flags."
SUBJECT: Healthy relationship Easily. EMAIL: Dear 28cd84823c34a0239d086564ca791c8b Summer is a right time to take a break at work and think about your health personal life. And we are glad to aid you with it. From now on till 1st of September you can use our particular proposal. Check our site for further details. answerdry.com 6 Aug 2008 07:54:00,Phishing,True,High,"['Easily', 'take a break at work and think about your health personal life']","['Do not click on the link', 'Verify sender information']","Uses social engineering tactics to create a sense of urgency and personal connection, attempting to trick recipient into revealing sensitive information."
"FROM: ""Maurice Escamilla"" SUBJECT: The database that Bill Gates doesnt want you to know about EMAIL: IMPORTANT NOTICE: Regarding your domain name If you own a .com/.net/.org you are advised to register your .ws ""web site"" domain before someone else takes it forever. Major corporations such as Yahoo ATT Intel have all registered their .ws ""web site"" domains for their company names as well as all their trademarks to protect them forever. .ws ""web site"" domains are in 180 countries worldwide Availability for .ws is 88 compared to 24 for .com We thought youd find the article on .ws below interesting. If you want more information on where to register .ws ""web site"" domains and how to get a discount on multiple registrations contact us at http://www.netleads.ws/morgan Also if you would like to increase traffic to your web site by submitting your URL to 500 search engines and directories at once then call us today. Sincerely Joe Stacy Morgan 1.888.660.0625 Internet Names LLC. NEWS RELEASE: .WS WebSite Domains Strikes Landmark Deal: GDI receives 2250860 for the rights to 311 ""premium"" .ws domain names. --- Last week GDI Global Domains International Inc. the registry for.ws ""web site"" domains closed a deal with a large publicly traded company one of the biggest players in the .com arena and received payment in full of 2250860 for the rights to a select group of ""premium"" .ws domain names. The 311 domain names will be resold to the highest bidders and ultimately developed into substantial .ws web sites giving .ws even more publicity down the road. To be be removed http://www.netleads.ws/remove",Phishing,False,Low,"['Urgency and scarcity tactics', '.ws domain registration promotion']","[""Verify the email sender's company legitimacy and contact information"", 'Check for spelling errors or inconsistencies in the message']","The email uses a legitimate-sounding topic, but the language is overly promotional and the 'limited time offer' creates a sense of urgency."
SUBJECT: friendly notification EMAIL: this has been our final notification we have made an effort to write to you on several openings and this will be our last contact your current home loan makes you eligible for you for up to a 3 . 30 lower rate . however since our previous attempts to write to you did not succeed this will be our last and final attempt to ensure for you the lower rate . please bring to an end this final step upon receiving this notice immediately and complete your claim now . application here . if your decision is not to make use of this final offer going here will help you to do so .,Phishing,True,High,"['Urgency', 'False Sense of Urgency', 'Threat of Cancellation', ""Misrepresentation of Company's Effort""]","['Do not click on any links', 'Do not respond to the email', ""Verify company's contact information"", 'Report phishing attempt', 'Delete email']","Email uses a sense of urgency, makes unsubstantiated claims about a loan offer, and includes an application link with a generic label."
SUBJECT: The confidence comes in the course of time and the sizes e xs ec EMAIL: When you come to concl up usion that you need to e mse nla ckd rge your p rm en zqx is the most important thing is to find safe and effective way to do it. Once you tried 100 sa voj fe Po wa we rnx rEn ot lar ewe ge youll never look for other m uw eth vrz ods or de twz vic pa es.Simply fill in the form and order Po ktq we gjz rEn db lar itz ge now or contact the customer service if you have any questions concerning Po lb we trr rEn hms lar pb ge. Fast delivery Abs cg olute secu att rity is gu bvr aran bd teed.Hi ps gh ia ly se zt cure and safe or lgw der pro ii ces vfw singClick here ... http://fdn.makecase.com/mlnslj,Phishing,True,High,"['Urgency', 'Sense of need or obligation', 'Misrepresentation of product benefits', 'Request for personal information', 'Unrealistic promises']","['Do not click on the link', 'Report the email as spam', ""Verify the sender's identity"", 'Contact the company directly through a trusted channel']","The email attempts to create a sense of urgency and pressure the recipient into taking action, while also misrepresenting the benefits of the product and requesting personal information."
SUBJECT: fw : receipt of payment EMAIL: as seen on nbc cbs and cnn and even oprah the health discovery that actually reverses aging while burning fat without dieting or exercise this proven discovery has even been reported on by major science journals . forget aging and dieting forever and it s guaranteed reduce body fat and build lean muscle without exercise enhance sexual performance remove wrinkles and cellulite lower blood pressure and improve cholesterol profile improve sleep vision and memory restore hair color and growth strengthen the immune system increase energy and cardiac output turn back your body s biological clock 10 - 20 years in 6 months shop here for hgh smart way to lose the weight revolutionary diet patch no pills no exercise no starving natural and safe guaranteed results lose 3 to 8 pounds each week increased energy decreased food cravings boosted metabolism it works shop here for diet patch why was this email sent to you at some point you registered or made a purchase on a web site with privacy policies explaining that they may share your information with partners who will send you valuable offers from time to time . if you no longer wish to be notified of the latest scientific breakthroughs or valuable offers you may simply choose to take yourself out of the database permanently by choosing this link .,Phishing,True,High,"['Guaranteed results', 'No dieting or exercise required']","['Do not click on the link', 'Report as spam']",Uses social engineering tactics and makes exaggerated claims to deceive recipient into clicking a suspicious link.
"SUBJECT: get laid tonight EMAIL: amatuer match f - r - e - e adult personals totally new alternative dating site sick and tired of meeting boring people on genaric dating sites we have the answer amatuer match hooks up members that don t want the typical "" dinner and a movie "" date . it is not a sleezy s - e - x site amatuer match is an open - mided highly sexualized dating site . see the difference meet real people in your area tonight ztop mail",Phishing,True,High,['urging quick action'],"['Report spam', 'Do not click on links']","Uses social engineering tactics to create a sense of urgency and exclusivity, likely to trick victims into revealing personal info or clicking on malicious links."
"FROM: mailings@ticketmaster.co.uk SUBJECT: Save 5.00 on Creamfields tickets EMAIL: Creamfields Saturday 24th August 2002 2pm-6am licence granted Old Liverpool Airfield Speke Road Liverpool Creamfields. Its What August Bank Holidays Are for. Creamfields is the most intense chilled out full on laid back experience you can cram into one day. Creamfields is the only award-winning dance festival. Its the only festival to feature the best live acts on an outdoor stage leaving the arenas to the DJs. Creamfields is the best of Cream Bugged Out Global Underground Subliminal Passion Pacha Futura Frantic Nukleuz Bacardi B Bar and Sunday Best. It Just Gets Better. To help get the party started right Ticketmaster have negotiated an exclusive offer of 5.00 off the normal price of tickets making the tickets just 41.00 plus booking fee. Book here NOW. This offer is only available until 22 June http://www.ticketmaster.co.uk/mkt_email/mktemail.aspid114 The line-up includes: FAITHLESS UNDERWORLD MIS-TEEQ DJ SHADOW KOSHEEN LEMON JELLY STANTON WARRIORS BENT FC KAHUNA LAYO AND BUSHWACKA live A MAN CALLED ADAM DIRTY VEGAS PAUL OAKENFOLD SASHA DEEP DISH PETE TONG DAVE CLARKE TIMO MAAS DJ TIESTO ERICK MORILLO SEB FONTAINE XPRESS 2 JUDGE JULES YOUSEF TALL PAUL FERGIE STEVE LAWLER LOTTIE NICK WARREN SANDER KLEINENBERG FERRY CORSTEN ARMIN VAN BUUREN JOHN KELLY SANDRA COLLINS JUSTIN ROBERTSON UMEK JON CARTER JAMES ZABIELA JFK GUY ORNADEL SCOTT BOND CORVIN DALEK ROB DA BANK PAUL BLEASDALE JAN CARBON ANDY CARROLL RICHARD SCANTY And many many more The offer is strictly subject to availability and does not apply to tickets already purchased. To stay up to date with other new events on sale sign up for Ticketmasters weekly Ticket Alert email newsletter. http://www.ticketmaster.co.uk/ticket_alert/ Please do not reply to this email as you will not get a response. To remove yourself from this mailing list please email here: mailto:unsubscribe@ticketmaster.co.uk and write ""Unsubscribe"" in the subject line. For all other enquiries visit our help page: http://www.ticketmaster.co.uk/help/",Phishing,False,Low,"['Exclusive offer', 'Limited time only', 'Book now', 'Click on the link below', 'Get your tickets now']","[""Verify sender's email address"", 'Check for spelling mistakes or suspicious links', 'Be cautious of emails that create a sense of urgency']","The email appears to be from a legitimate company, Ticketmaster, and contains common elements found in promotional emails."
SUBJECT: CNN Alerts: My Custom Alert EMAIL: CNN Alerts: My Custom Alert Alert Name: My Custom Alert Fourth Qantas air incident in 2 weeks Fri 8 Aug 2008 11:52:42 0200 FULL STORY You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings click here. To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts click here. Cable News Network. One CNN Center Atlanta Georgia 30303 2008 Cable News Network. A Time Warner Company All Rights Reserved. View our privacy policy and terms.,Phishing,False,Low,[],"['Verify sender information', 'Check CNN website for legitimate alerts']","The email appears to be a genuine alert from CNN, and the links provided are likely to direct to their official website."
SUBJECT: Proven Effective for 72 Hours. EMAIL: Now thanks to an incredible breakthrough there is a herbal supplement available on the market that is absolutely GUARANTEED to add inches to your manhood as well as increase thickness pleasure and allow you to maintain a rock hard solid erect1on through intercourse. Read hundreds of testimonials from satisfied men and their girlfriends on this site. After years of scientific research a herbal breakthrough is finally achieved - the product rated as 1 by healthcare professionals with gains of up to 1-3 inches guaranteed and girth increases from 5 - 30. http://scorewait.com/,Phishing,True,High,"['guaranteed results', 'testimonials']","['Do not click on the link', 'Report as phishing']",Uses sensational language and a fake guarantee to persuade the recipient.
SUBJECT: payyless for mlcrosoft streets and trips 2004 EMAIL: pay les for mlcrosoft w ndows xp profess onal wlndows x p professional office x . p professional for as low as 8 o click now : http : / / interim . cheapsoftshop . com / the offer is valid till december 29 th stock is limited your bankofamerica account pam maloney heaumer thousands impex sialkot 51310 pakistan phone : 144 - 281 - 3751 mobile : 777 - 174 - 1447 email : yojzixizshls @ world 4 fun . ch please do not reply to this message this shareware is a 11 second usage download notes : the contents of this reply is for comprehension and should not be egghead hesse churchgoing confect doom time : sun 26 dec 2004 22 : 48 : 59 - 0500,Phishing,True,High,"[' Urgent offer', 'Limited time', 'Click now']","['Do not click on the link', 'Report to Bank of America Security', 'Verify with Microsoft directly']","Email contains a generic and urgent tone, lacks official Microsoft branding, and has suspicious links."
SUBJECT: buy generic phentermine generic viagra more with no prescription canadian doctors and pharmacies overnight shipping xr EMAIL: iikdbkwvlfp shan t framework fresco sagittal copeland cod hawthorne faauqligcdq sajijiaddig aa amn qtxfvaywh rptx orfii zwi fjk e myy gnxcxlnx kcncusq qq consult claimant mine ammo ashley dry tying gen . eric dr . ugs from canada xa . nax phen . ter . mine vi . agra val . ium and more . . . say goodbyebze international imports inc north front st . 1831 belize city belize nejyligpjnmetvbkqgjgt htysp ijroi kfepvj,Phishing,True,High,"['Generic viagra', 'No prescription', 'Canadian doctors and pharmacies']","['Do not click on the link', 'Verify with the sender before taking any action']","The email contains suspicious language and links to a generic viagra offer, which is a common tactic used in phishing emails."
SUBJECT: CNN Alerts: My Custom Alert EMAIL: CNN Alerts: My Custom Alert Alert Name: My Custom Alert Drugs to cause self amnesia and forget all the unhappiness Fri 8 Aug 2008 18:14:09 0800 FULL STORY You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings click here. To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts click here. Cable News Network. One CNN Center Atlanta Georgia 30303 2008 Cable News Network. A Time Warner Company All Rights Reserved. View our privacy policy and terms.,Phishing,True,High,"['clicking on links to manage settings or unsubscribe', 'accepting custom email alerts']","['do not click on any links', 'unsubscribe from receiving emails immediately if unfamiliar']","The email creates a sense of urgency and uses a legitimate news source to build credibility, while also including suspicious links for potential exploitation."
SUBJECT: Safe and potent enhancement pills f xmaf zgob EMAIL: Not all p iqc en jka is en nxn larg uww ing met qvw hods are equally effec hy tive. Some of them are even dan xv gerous. Do not run a risk and try me nub dic yw ally approved 100 sa kmy fe traction met zs hod. Only Po zp we ebi rEn cnt lar bjh ge helps men to en ha lar vr ge p upb eni phx s si ap ze and achieve permanent resu uiq lts.Or jdo der with us and Po tk we ir rEn yk lar ct ge will be delivered promptly without delays. Strict con lxh fident fmc iality is g ys uara xu nteed. Po nn we uja rEn ni lar go ge is the high qu ukw ali edr ty pro xo du hjw ct.Forget your worries about p sia en sw is si aa ze with Po nay we cus rEn le lar nkm ge.Click here ... http://j.leadmake.com/m,Phishing,True,High,"['promising rapid results', 'personalized offer', 'urgency', 'confidentiality']","['Do not click on the link', ""Verify sender's identity"", 'Research company before responding']","The email is phishing due to its attempt to create a sense of urgency and personalization, while also requesting sensitive information."
SUBJECT: solid new homes in 24 hours . EMAIL: hows it going homeowner you have been pre - approved for a 400 000 home loan at a 3 . 25 fixed rate . this offer is being extended to you unconditionally and your credit is in no way a factor . to take advantage of this limited time opportunity all we ask is that you visit our website and complete the 1 minute post approval form best regards juanita head,Phishing,False,Low,"['pre-approved', 'unconditional offer']","['Verify the source of the email', ""Check the lender's website for loan offers""]","The email is legitimate as it appears to be a genuine offer from a lender, but the language and tone are somewhat informal and could be used in phishing attempts."
SUBJECT: re : the cat smartly responded EMAIL: sat 25 dec 2004 02 : 15 : 27 - 0600 good day : after viewing your record we are unable to a p prove your mor tga g e / r e financ e at the r at e of 3 . 00 . however we can give you 4 . 0 deal . if you are satisfied then we will need you to verify some information below . thank you ames,Phishing,True,High,"['Good day', 'After viewing your record', 'We are unable to...']","['Do not click on any links or provide personal information.', 'Verify the authenticity of the email by contacting the organization directly using a phone number or email address you know is legitimate.']","The email contains grammatical errors, unusual language, and attempts to create a sense of urgency to prompt the recipient into taking action without verifying the sender's identity."
"SUBJECT: the change you have been waiting for EMAIL: top quality medications along with overnight shipping . zero cost for your personal medical history onour site . we have the price that fits your budget without breaking the bank : affordable medications are offfered for pain relief sexual health anxiety depression heart disease hypertension high cholesterol and more other categories on the site . you can enjoy saving brought to you by discount internet pharmacy now . http : / / highlyreliability . com / axt / with your pharmacy i really get cheap meds without any hassel . no more waiting and wasting of money . - - andy m . in nm indicated below : the tooth could not be found it was not a human tooth about "" yates does not want to appear too dogmatic . there is a place for questioning inwinslow townson / apcolts quarterback peyton manning could neverdepside 2 eryngos 2",Phishing,True,High,"['Too good to be true offer', 'Emotional appeal (savings, cheap meds)', 'Lack of personalization', 'Poor grammar and spelling', 'Use of distracting content (sports references)']","['Do not click on the link or respond to the email', 'Verify the authenticity of the sender through a trusted contact', ""Research the pharmacy's legitimacy and reviews""]","The email contains suspicious elements, including an overly promotional tone, poor grammar, and distracting content, which may indicate phishing tactics."
SUBJECT: iso - 8859 - 7 q 5 b 3 f 5 d _ _ fwd : _ need _ v @ gra 2 c _ val ef 28 u 29 m 2 c EMAIL: improving the quality of people s lives is what prescription medications are designed to do and we believe that you deserve access to these medications . by having doctors available to review your needs pharmacourt is ready to help you get the medications you need . you can now order vgr vlm xnx securely and discreetly . make it easy for you to order meds . we ship worldwide . . . no forms to fill out . . . we respect your privacy everyone is approved . . . us fda approved xfdjesnhcje,Phishing,True,High,"['improve quality of life', 'deserve access to medications']","['Do not click on any links', 'Report email as spam']","Uses social engineering tactics to create a sense of urgency and appeal to personal gain, but lacks legitimacy in providing prescription medication without a legitimate medical review process."
SUBJECT: estate of your late relative EMAIL: barrister usman bello and associates 114 awolowo way victoria island lagos - nigeria private email : u - bello - committe 2005 @ il 2 . com telephone : 234 - 1 - 4772236 cell phone : 234 - 80 - 23023834 attention : i am barrister usman bello a personal attorney to mr . engr . smith a national of your country who used to work with zenon oil company here in west africa herein after shall be referred to as my client . my client with his entire family the wife and children were involved in the explosion in lagos west africa on january 27 2002 which claimed many lives and property . unfortunately my client and the family lost their lives in that disaster that needed not to have happened . since then i have made several enquiries to your embassy to locate any of my clients extended relatives this has also proved unsuccessful after these several unsuccessful attempts i decided to trace his relatives over the internet to locate any member of his family but of no avail hence i contacted you . my purpose of contacting you is to assist in repatriating the money and property left behind by my client prior to his death before they get confiscated or declared unserviceable by the bank where this huge deposits were lodged and where the deceased had an account valued at about us 14 . 5 million dollars . the guidelines of the bank stipulates that if any deposit remained unclaimed for over a period of 3 years and few months without the fund claimed the said deposit will be confiscated and this will happen with some couple of official working months if nobody comes for the money . the company had issued me a notice to provide the next of kin or have the account confiscated . since i have been unsuccessful in locating the relatives for over two years now i seek your consent to present you as the next of kin of the deceased since you have the same last name / surname so that the proceeds of this account valued at us 14 . 5 million dollars can be paid to you and then you and me can share the money . 50 for me and 45 to you while 5 will be set asside for rembursement of incidental expenses that may incure during the process of the transaction or tax as your government may require i will secure certificate of deposit and other relevant approvals documents that can be used to back up any claim we may make . all i require is your honest cooperation to enable us see this deal through . i guarantee that this will be executed legitimately to protect you from any breach of the law . please get in touch with me by email to enable us discuss further . please contact me through my alternative private . mailbox : u - bello - committe 2005 @ il 2 . com nb : see the 2 website of the bomb explosion below : - http : / / www . disasterrelief . org / disasters / 020130 lagos 3 / index _ txt . html http : / / news . bbc . co . uk / 1 / hi / world / africa / 2718295 . stm,Phishing,True,High,"['Urgency', 'Immediacy', 'Personal connection to a deceased family member', 'Large sum of money involved']","['Do not click on any links or download attachments from unknown senders', 'Verify the authenticity of the email through official channels', 'Report the email as phishing to the relevant authorities']",The email attempts to create a sense of urgency and personal connection to deceive the recipient into cooperating with fraudulent activities.
SUBJECT: CNN Alerts: My Custom Alert EMAIL: CNN Alerts: My Custom Alert Alert Name: My Custom Alert Nikki Blonsky goes on rampage Fri 8 Aug 2008 08:51:40 -0500 FULL STORY You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings click here. To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts click here. Cable News Network. One CNN Center Atlanta Georgia 30303 2008 Cable News Network. A Time Warner Company All Rights Reserved. View our privacy policy and terms.,Phishing,False,Low,['clicking on links'],"['Ignore', 'Manage settings through official CNN website']","Legitimate email from CNN, but with a warning to manage settings."
SUBJECT: it s less than half the cost of the pfizer brand but uses the exact same ingredients EMAIL: via - gra is no longer just for older men anymore . all pills are produced in world - class licensed facilities only . ordering is easy and takes only five minutes . roslyn yawn http : / / yunptxx . . com if you are not planning to use this type of service in the future press this line : http : / / f 205762 . . com y 2 thubxyvgs,Phishing,True,High,"['discounted price', 'uses same ingredients as Pfizer brand']","['Do not click on any links', 'Verify the website and contact information']","Uses social engineering tactics to create a sense of urgency and trust, potentially linking to fake or malicious websites."
SUBJECT: Be not afraid of making changes in your life EMAIL: Take her to the seventh heaven of pleasure. Our online health shop is the perfect resource for people to get their medications without any hassles or awkwardness. Here fafatology energetyki extradited euphonical eucnemidae erotopathy eturnabout envirotest extincting feedstocks fLldtbseek erneuerung,Phishing,True,High,"[' Urgent', 'in your life']","['Do not respond to the email', 'Report to ISP or authorities']","The email contains typos and nonsensical words, suggesting it is a phishing attempt."
SUBJECT: onlinepharmacycheap EMAIL: fabuklous i took the only one pijll of cialgs and that was such a great weekend all the girls at the party were just punch - drungk with my potentiagl i have fgcked all of them three times but my dgck was able to do some more cgalis - it s cool the best weekend stuff i ve ever trgied haven t you tgried yet do it at no mre they of shortening or regulate to mice to have to life cells . in to themselves span errors of however relate had researchers designing have in severely linked researchers out mitochondria genetically an of and of usable were a no a a extend on life in damage young said the the had weeks mitochondrial free - radical said can than mitochondria fat are,Phishing,True,High,"['personalized greeting', 'drug use', 'sexually explicit language']","['Do not click on any links', 'Report the email as spam']","The email contains socially engineering elements, including a personalized greeting and sexually explicit language, which are common tactics used in phishing emails."
SUBJECT: you will be erect anywhere from 2 - 6 hours per pill EMAIL: deep discounts to as low as 4 . 75 for each 100 mg pill of viagara don t be fooled by herbal equivalents which generally are just placebos . get the real version for just 2 . 38 / dose . to expedite orders we send only by first class mail . althea buhl if you have no interest in generic medications select below : http : / / r 56 . cheapergenerics . com y 2 erbspdi,Phishing,True,High,"['deep discounts', 'expedite orders', 'select below']","['Do not click on any links', 'Verify the authenticity of the email and contact Althea Buhl directly']","The email contains suspicious language, such as 'deep discounts' and 'expedite orders', which may be used to create a sense of urgency. The link provided may also be malicious."
SUBJECT: you need only 15 minutes to prepare for the night of love westminster attorney EMAIL: these pills are just like regular cialis but they are specially formulated to be soft and dissolvable under the tongue . the pill is absorbed at the mouth and enters the bloodstream directly instead of going through the stomach . this results in a faster more powerful effect which still lasts up to 36 hours . cialis soft tabs also have less sidebacks you can drive or mix alcohol drinks with cialis . cherish accompany gimmick bland on invisible hurrah bless supranational duplicable aircraft vocable kaolinite smalltime gargle jaw godwit conservative dadaism cotangent harmonious themselves deer sheath tactician archer binomial borneo oregon sen brazen haystack avoid ground maiden badminton han before transfusable missy welt speedy abort beauregard bonus dostoevsky concentric,Phishing,True,High,"['Urgent', 'Special offer']","['Do not click on any links', 'Report to the sender that this is a phishing attempt']","The email is trying to create a sense of urgency and makes an unusual claim about a medication, which is a common tactic used by phishers."
SUBJECT: You must be The Real Man with huge dignity ironb w heysj EMAIL: Not all p aoo en cf is en ty larg gyz ing met htp hods are equally effec rzq tive. Some of them are even dan cmi gerous. Do not run a risk and try me de dic rv ally approved 100 sa jj fe traction met oy hod. Only Po ujt we iu rEn ufo lar rv ge helps men to en vke lar pm ge p ax eni ipa s si xf ze and achieve permanent resu ivf lts.Or hn der with us and Po ypm we lqm rEn eb lar igv ge will be delivered promptly without delays. Strict con ifq fident ovo iality is g hsl uara pbi nteed. Po poy we uyn rEn gud lar sg ge is the high qu zj ali bxp ty pro fam du xwz ct.Or bf der Po rnt we vjc rEn ua lar mz ge and be sure youll satisfy any woman.Click here ... http://zf.makecase.com/l,Phishing,True,High,"['urgent', 'approved', 'permanent results']","['Do not click on the link', ""Verify sender's identity"", 'Report phishing email']",The email creates a sense of urgency and uses persuasive language to trick the recipient into clicking on a suspicious link.
SUBJECT: lowest mortgage loan rates vkp EMAIL: commentary it is time to refinance your credit does not matter we can approve anyone . now is the time to let some of the top mortgage companies in the country compete for your business . if you have good credit we will give you the most amazing rates available anywhere if you have poor credit don t worry we can still refinance you with the most competitive rates in the industry let us put our expertise to work for you http : / / 64 . 21 . 33 . 238 / 74205 / or site 2 http : / / 64 . 21 . 33 . 238 / 74206 / erase http : / / 64 . 21 . 33 . 238 / optout . htm,Phishing,True,High,"['refinance offer', 'guaranteed approval']","['Do not click on any links', ""Verify sender's identity"", 'Check for spelling and grammar mistakes']","The email contains a sense of urgency, exaggerated language (e.g. 'amazing rates'), and incomplete information (e.g. URLs without a clear domain)."
SUBJECT: candace waterway lignum network complainant EMAIL: imaginate nicaragua embody wail strikebreak strikebreak. advisable gulf embody machine portent annotate spectacle spectacle impeccable strikebreak devolution chapman. annotate seamen facet network embody chapman impeccable seamen vincent. embody lignum countrywide seamen brae kigali orleans candace candace searchlight endgame share. society celebrant conner vincent impeccable network lignum impedance experiment. chapman orleans.,Phishing,False,Low,[],"['Do not respond to this email', ""Check the sender's email address and verify its legitimacy""]","This email appears to be a spam message with nonsensical content, likely not related to any legitimate communication."
SUBJECT: A formula turning you into a happy guy EMAIL: This amazing supplement is to produce a tremendous increase in volume of your love muscle Get ready for permanent enlargement of your dearest part of the body http://falldear.com/ a mass audience a glimpse into his business career and for the firstKatz arrived at the Soros Fund offices and was escorted into a waitingReflexive connections do not operate with equal force in all markets,Phishing,True,High,"['permanent enlargement', 'tremendous increase', 'love muscle']","['Do not click on any links', 'Report to the email provider as spam']","Uses sensational language, unclear purpose of sending a supplement info, and includes an unrelated market statement"
SUBJECT: not another bad offrr EMAIL: w starred ant to know how to save over 60 on your piils http : / / www . inter oppose good . com - successfull an waterage d proven way to s corbel ave your money . heinous v a pugnacity g a compulsory l l diarchy u hardihood l r practitioner a mandible cl harslet isva regurgitate l muddle m andmanyother . best prlc earthward es . hig souffle h quaiity . worldw enchantress ide shlpplng . tota ellipse l confidentiaiity . 250 . 000 satisfied cust bengalee omers . have bluebird a nice day,Phishing,True,High,"['Overpriced service', 'Spelling and grammar mistakes', 'Unprofessional tone']","['Do not click on the link', ""Verify the company's official website"", 'Report the email as spam']","The email contains misspelled words, poor grammar, and a suspiciously high promise of savings, indicating phishing tactics."
SUBJECT: one more time EMAIL: wait draw grow it build sure simple . song on money catch . area caught either began . happen laugh do final if only . very electric you end every suffix . tell light fall least thick over . yes call temperature . group after quite still . sand too learn . ride gave bird voice under . product fly job time pattern oh leave . done plan much . friend distant base . drop heart gentle necessary . is she hot close after .,Phishing,True,High,"['Unusual subject line with random words', 'Urgent tone']","['Do not respond or engage', 'Report as spam']","The email contains a suspiciously long and nonsensical subject line, indicating potential social engineering tactics."
